id;date;details;status;payment_method;payment_date;payment_amount
1;2021-06-16T05:10:21;RAM estatica;PAID;CASH_ON_DELIVERY;2021-06-16T09:36:16;5801
2;2021-06-15T23:24:32;Baleares calculating migración;ISSUED;CREDIT_CARD;2021-06-16T01:39:29;75071
3;2021-06-15T22:10:30;program SQL;CANCELLED;CREDIT_CARD;2021-06-15T20:49:54;79944
4;2021-06-16T09:04:37;Ladrillo Central;PAID;CASH_ON_DELIVERY;2021-06-16T06:20:18;8068
5;2021-06-16T13:11:29;Bhutanese;CANCELLED;PAYPAL;2021-06-16T15:01:02;87472
6;2021-06-16T01:47:57;Ingeniero Camiseta Barrio;CANCELLED;PAYPAL;2021-06-16T17:32:24;62834
7;2021-06-16T13:20:19;program transmitting parse;PAID;CREDIT_CARD;2021-06-16T04:20:37;38509
8;2021-06-16T04:01:55;Dinánmico iterate;PAID;CREDIT_CARD;2021-06-16T00:18:43;6085
9;2021-06-15T20:55:38;Negro Mancha;PAID;CREDIT_CARD;2021-06-15T23:37:43;11254
10;2021-06-16T10:10:59;Jefe Vía;CANCELLED;PAYPAL;2021-06-15T23:28:07;85804
