id;name;description;price;sizer;image;image_content_type
1;Acero;Asistente;57374;XXL;../fake-data/blob/hipster.png;image/png
2;superestructura navigate;Chilean reboot Inversor;70131;L;../fake-data/blob/hipster.png;image/png
3;withdrawal THX División;Metal;83023;L;../fake-data/blob/hipster.png;image/png
4;Castilla de Subida;logística conjunto Artesanal;32770;L;../fake-data/blob/hipster.png;image/png
5;Pelota Pequeño;Ordenador CFP Negro;9548;L;../fake-data/blob/hipster.png;image/png
6;mobile País auxiliary;COM Implementación Genérico;52784;M;../fake-data/blob/hipster.png;image/png
7;withdrawal invoice;Bicicleta Zapatos Avenida;20319;M;../fake-data/blob/hipster.png;image/png
8;pixel móbil quantifying;rich de Interno;79521;M;../fake-data/blob/hipster.png;image/png
9;Ordenador Andalucía mobile;AGP Violeta;71562;XL;../fake-data/blob/hipster.png;image/png
10;Gris solución;Mancha Ergonómico Ergonómico;5859;S;../fake-data/blob/hipster.png;image/png
