id;placed_date;status;code;customer_id
1;2021-06-16T12:34:19;COMPLETED;Electrónica;1
2;2021-06-16T06:56:18;COMPLETED;payment PCI Gris;2
3;2021-06-16T17:25:11;CANCELLED;monitorizada out-of-the-box withdrawal;2
4;2021-06-15T21:28:12;COMPLETED;Videojuegos optimizada;1
5;2021-06-16T05:32:21;CANCELLED;Gorro;2
6;2021-06-16T18:17:09;PENDING;solid navigating;1
7;2021-06-16T04:12:55;PENDING;Bricolaje Gris;1
8;2021-06-16T17:02:29;COMPLETED;Desarrollador;1
9;2021-06-16T00:30:53;COMPLETED;Credit Ladrillo Algodón;1
10;2021-06-16T15:13:29;CANCELLED;conglomeración Bedfordshire;2
